year,Italy,Spain,Germany,France,Switzerland,Slovenia,Belgium,United Kingdom,Ireland,Netherlands,Croatia,Serbia,Portugal,Austria,Greece
1966,13.040583333333332,13.969916666666668,8.645666666666667,13.215166666666667,7.438666666666666,10.258083333333333,9.901583333333333,8.559916666666668,9.631333333333332,9.827833333333333,11.952166666666665,10.824750000000002,14.995249999999999,6.873416666666667,15.657666666666666
1967,13.13725,13.697916666666666,9.041666666666666,13.0875,7.483416666666667,10.13175,10.056583333333334,8.833166666666667,9.491416666666668,10.293666666666667,11.737916666666665,10.316166666666666,14.699666666666667,6.838166666666666,14.858833333333335
1968,12.84525,13.938833333333333,8.323583333333334,12.79775,7.061916666666666,9.781166666666667,9.412333333333335,8.565916666666666,9.588833333333334,9.549916666666666,11.577333333333334,10.440583333333333,14.927916666666667,6.37925,15.1145
1969,12.629583333333334,13.211333333333334,7.913,12.8335,6.777583333333333,9.419916666666667,9.5505,8.467916666666667,9.33275,9.533583333333334,11.095083333333333,9.765333333333334,14.412999999999998,6.000333333333334,15.03875
1970,12.840583333333333,13.719999999999999,7.856083333333334,12.89925,6.820666666666667,9.541333333333332,9.498999999999999,8.66975,9.603583333333333,9.4315,11.310666666666668,10.0585,14.75925,5.934833333333334,15.164916666666668
1971,12.788916666666665,13.091583333333332,8.600166666666667,12.869166666666667,7.264166666666667,9.679333333333334,9.831166666666666,9.0505,10.086583333333333,9.901833333333334,11.393333333333333,10.123583333333334,14.277000000000001,6.449333333333333,14.664000000000001
1972,12.716833333333334,12.810666666666668,8.054833333333333,12.594416666666667,6.903416666666666,9.692333333333332,9.333333333333334,8.4925,9.239583333333334,9.366166666666667,11.494166666666667,10.319083333333333,13.878,6.249833333333334,14.70375
1973,12.798499999999999,13.420166666666667,8.402833333333334,12.887166666666667,6.9614166666666675,9.555250000000001,9.758833333333333,8.7935,9.816666666666666,9.848333333333334,11.248333333333333,9.758416666666667,14.614583333333334,6.2135,14.696416666666666
1974,12.807583333333334,13.324166666666665,8.970416666666667,13.040416666666667,7.470083333333334,10.140666666666666,10.072916666666666,8.760166666666667,9.478666666666667,10.12575,11.745166666666668,10.270333333333335,14.383249999999999,6.891416666666667,14.686416666666668
1975,12.937166666666668,13.374249999999998,9.093666666666667,12.9625,7.44725,10.366083333333334,10.071916666666667,9.077916666666667,10.063666666666666,10.260833333333334,11.948583333333334,10.440166666666666,14.477416666666665,6.898,14.728583333333333
1976,12.503166666666667,13.435,8.6505,13.278333333333334,7.3615,9.530833333333334,10.368,9.090333333333334,9.861583333333334,10.16475,11.041583333333334,9.385916666666667,14.590833333333334,6.416083333333333,14.2085
1977,13.03875,13.548499999999999,8.804833333333333,13.016583333333335,7.37675,10.263333333333334,9.961083333333333,8.6495,9.61225,10.037333333333333,11.926416666666666,10.627583333333334,14.587666666666665,6.916,15.298
1978,12.373666666666667,13.716666666666667,7.9327499999999995,12.657000000000002,6.602666666666667,9.057833333333333,9.23225,8.548416666666666,9.648583333333333,9.344416666666666,10.766666666666667,9.541916666666667,14.826666666666668,5.786833333333334,14.62
1979,12.898166666666667,13.831666666666665,7.901666666666666,12.836416666666667,7.087416666666667,9.969416666666667,9.058583333333333,8.05275,8.8925,8.885416666666666,11.777666666666667,10.486166666666668,14.752083333333333,6.404,15.156500000000001
1980,12.239583333333334,13.60425,7.727250000000001,12.555833333333332,6.5384166666666665,9.046416666666667,9.297333333333333,8.643166666666668,9.545333333333334,9.464916666666667,10.685250000000002,9.355583333333334,14.841416666666667,5.633583333333334,14.556916666666666
1981,12.77675,14.273249999999999,8.320500000000001,13.080666666666666,7.128916666666668,9.853583333333335,9.627083333333333,8.487083333333333,9.590916666666667,9.639916666666666,11.5085,10.114666666666666,15.4955,6.503583333333334,14.9465
1982,13.439916666666667,14.205,9.073333333333334,13.679416666666667,7.798583333333334,10.291583333333334,10.33,9.014583333333333,9.84675,10.33625,11.921916666666666,10.314,15.071916666666667,6.918583333333334,14.762416666666667
1983,13.188333333333333,14.1945,9.185666666666668,13.487833333333334,7.794833333333334,10.344333333333333,10.294500000000001,9.091666666666667,10.079500000000001,10.357416666666667,11.934833333333335,10.431083333333333,15.07,7.187083333333334,14.610333333333335
1984,12.486333333333333,13.36575,8.123,12.868250000000002,6.82275,9.482666666666667,9.6495,8.90725,9.784583333333334,9.697416666666667,11.194,9.98125,14.60425,6.061833333333333,14.878916666666667
1985,13.058333333333332,14.131833333333333,7.613333333333333,12.628,6.881583333333334,9.464916666666667,8.795499999999999,8.173250000000001,9.110666666666667,8.828,11.151833333333334,9.664416666666666,15.154416666666668,5.923000000000001,15.218000000000002
1986,13.132833333333332,13.876249999999999,8.085083333333333,12.871666666666668,7.152083333333334,9.67775,9.264000000000001,8.00275,8.733333333333333,9.215083333333334,11.404000000000002,10.14875,14.729999999999999,6.316916666666667,15.1365
